Threshold Name,Metric,Threshold Value,Dataset Percentile,Affected Images,Percentage,Produces Status,Hard Failure,Enhanceable
brightness_bright_severe_pct,brightness_bright_pct,> 1.2,P0.17 above (P99.83),7,0.17%,CRITICAL,NO,NO
contrast_rms_severe_low,contrast_rms,< 11.0,P1.34,56,1.34%,CRITICAL,NO,PARTIAL (Dense cataract / haze)
contrast_rms_mild_low,contrast_rms,< 16.0,P24.65,1030,24.65%,BORDERLINE,NO,"YES (CLAHE, local contrast enhancement)"
contrast_rms_optimal_max,contrast_rms,> 32.0,P3.73 above (P96.27),156,3.73%,BORDERLINE,NO,YES (Dynamic range compression)
contrast_rms_excessive,contrast_rms,> 42.0,P0.57 above (P99.43),24,0.57%,BORDERLINE/CRITICAL,NO,PARTIAL (Glare suppression)
noise_std_optimal_max,noise_residual_std,> 1.1,P55.19 above (P44.81),2306,55.19%,BORDERLINE,NO,YES (Bilateral filtering / NLM)
noise_std_acceptable_max,noise_residual_std,> 1.8,P27.36 above (P72.64),1143,27.36%,BORDERLINE,NO,YES (Wavelet denoising)
noise_std_severe_min,noise_residual_std,> 2.3,P1.24 above (P98.76),52,1.24%,CRITICAL,NO,PARTIAL (Severe grain)
fov_circ_good_min,fov_circularity,< 0.92,P14.77,617,14.77%,BORDERLINE,NO,NO (Camera aperture is physical)
fov_circ_borderline_min,fov_circularity,< 0.85,P1.10,46,1.10%,BORDERLINE,NO,NO
fov_comp_good_min,fov_completeness_ratio,< 0.85,P11.92,498,11.92%,BORDERLINE,NO,NO
fov_comp_borderline_min,fov_completeness_ratio,< 0.75,P0.00,0,0.00%,BORDERLINE,NO,NO
illum_cov_good_max,illum_map_cov,> 0.24,P36.52 above (P63.48),1526,36.52%,BORDERLINE,NO,YES (Flat-field correction / Homomorphic)
illum_cov_borderline_max,illum_map_cov,> 0.38,P4.43 above (P95.57),185,4.43%,BORDERLINE,NO,YES (Vignetting correction)
illum_ratio_dev_good,raw_illum_center_edge_ratio,dev > 0.15,P80.23 (dev),826,19.77%,BORDERLINE,NO,YES (Radial gain compensation)
illum_ratio_dev_borderline,raw_illum_center_edge_ratio,dev > 0.35,P97.27 (dev),114,2.73%,BORDERLINE,NO,YES (Radial gain compensation)
artifact_sat_good_max,artifact_sat_pixel_pct,> 0.01,P4.60 above (P95.40),192,4.60%,BORDERLINE,NO,YES (Inpainting / highlight recovery)
artifact_sat_borderline_max,artifact_sat_pixel_pct,> 0.08,P2.92 above (P97.08),122,2.92%,BORDERLINE,NO,PARTIAL (Inpainting small reflections)
artifact_sat_severe_min,artifact_sat_pixel_pct,> 0.3,P0.98 above (P99.02),41,0.98%,CRITICAL,NO,NO (Obscured macula/arcade)
artifact_blobs_good_max,artifact_glare_blob_count,> 0,P52.47 above (P47.53),207,4.95%,BORDERLINE,NO,YES
artifact_blobs_borderline_max,artifact_glare_blob_count,> 2,P1.70 above (P98.30),53,1.27%,BORDERLINE,NO,PARTIAL
artifact_blobs_severe_min,artifact_glare_blob_count,> 5,P0.37 above (P99.63),12,0.29%,CRITICAL,NO,NO
